userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,nsi
1263850596760784896,35927,445748,38,268,14.1053,0.1906,0.945946,0.060446247464503,0.0265791186269462,0.0001026402385719,0.9336933693369336,0.4525,0.9950062421972534,uk,0.45
994953517931663362,13579,157516,9,13,2.8889,0.1806,0.375,0.0175794455713319,0.0932464328382854,0.0,0.9462946294629464,0.875,0.815230961298377,us,0.41
1514497442,182233,3359803,121,326,5.3884,0.0225,0.7,0.0033806626098715,0.0370557438831311,0.0011445667547186,0.9957995799579958,0.9603,0.9662921348314608,au,0.46
4044862994,35819,552978,31,62,4.0,0.0667,0.4666669999999999,0.0143340094658553,0.0771497673695764,0.0002650383902579,0.96009600960096,0.6211,0.902621722846442,us,0.39
751363074704093184,17286,239179,11,18,3.2727,0.1636,0.4,0.0054090601757944,0.0077705360698571,0.0,0.9333933393339334,0.7722,0.9500624219725344,au,0.4
2246452110,176458,2475502,102,363,7.1176,0.0352,0.772277,0.0098715348208248,0.1452099501714374,0.0006181800400273,0.984998499849985,0.6668000000000001,0.8464419475655431,us,0.43
841793227,239158,3700246,254,7150,56.2992,0.1113,0.964427,0.0673427991886409,0.0467222907540333,0.0022888279625855,0.9888988898889888,0.7698,0.9875156054931336,au,0.49
1382322426,144566,2808793,220,2610,23.7273,0.0542,0.972603,0.0140635564570655,0.0295299796994745,0.0009409080262492,0.984098409840984,0.4397,0.752808988764045,au,0.41
1031214353633173504,52085,1003608,46,226,9.8261,0.1092,0.866667,0.0278566599053414,0.02827698075821,0.0002792580706645,0.9264926492649264,0.5527,0.7265917602996255,us,0.4
1490765889851080709,45958,654284,32,338,21.125,0.3407,0.967742,0.07315753887762,0.0613308985653647,0.0029820785137185,0.9222922292229224,0.789,0.6704119850187267,us,0.48
28335344,278445,5080701,133,480,7.218,0.0273,0.818182,0.0054090601757944,0.0461628121570036,0.0003258774691549,0.9495949594959496,0.739,0.8401997503121099,au,0.43
249425910,16265,290959,14,24,3.4286,0.1319,0.461538,0.015551048005409,0.3908579643138131,0.0055121592193362,0.9024902490249024,0.5448999999999999,0.8426966292134832,us,0.41
24302452,96721,1802465,56,175,6.25,0.0568,0.8,0.0128465179175118,0.0301924178994298,0.0006807348820147,0.943894389438944,0.5907,0.7565543071161049,us,0.4
833073745086459904,129829,1340112,175,3398,38.8343,0.1116,0.994253,0.0263691683569979,0.0320398628500383,0.0025276480826059,0.9846984698469848,0.3833999999999999,0.9550561797752808,us,0.44
1385515201542320130,193946,3442214,131,353,5.3893,0.0207,0.5769230000000001,0.0081135902636916,0.0789195069594863,0.0,0.997899789978998,0.9394,0.9400749063670412,au,0.45
2293974678,39007,595482,45,94,4.1778,0.0475,0.7272730000000001,0.0148749154834347,0.0525890454867755,0.0,0.984098409840984,0.8243,0.8764044943820225,au,0.44
528911765,139669,2238714,105,378,7.2,0.0346,0.75,0.0096010818120351,0.0326168251532252,0.0011381385190306,0.9942994299429944,0.9323,0.9637952559300874,au,0.46
1042170306,230661,2221621,138,783,11.3478,0.0414,0.883212,0.0068965517241379,0.0875525725330976,0.0002142235984574,0.9690969096909692,0.4099,0.3757802746566792,us,0.35
1569477448529756161,30683,802291,17,29,3.4118,0.1066,0.6875,0.0196078431372549,0.0093596106961429,0.0005745338474401,0.9873987398739874,0.9417,0.916354556803995,au,0.46
31690992,95037,1259544,95,386,8.1263,0.0432,0.829787,0.00973630831643,0.0914281273979388,0.0001389415549159,0.9744974497449744,0.2814,0.920099875156055,au,0.39
556621717,97645,1267962,74,325,8.7838,0.0602,0.849315,0.0105476673427991,0.0215030159393121,0.0005147171753161,0.9672967296729672,0.518,0.8901373283395755,us,0.41
4154349379,126563,1231802,74,296,8.0,0.0548,0.575342,0.0079783637592968,0.0755451516711509,0.0005306173634073,0.96999699969997,0.4767,0.898876404494382,us,0.38
1062225213834711040,79710,801685,62,163,5.2581,0.0431,0.7049179999999999,0.0066260987153482,0.0543548998086505,0.0001876292705563,0.9777977797779778,0.6081,0.9151061173533084,us,0.41
1244155739213631488,3207,34255,4,6,3.0,0.5,0.666667,0.0626098715348208,0.0,0.0,0.624962496249625,0.5,0.8614232209737828,us,0.4
1399846068645466115,186563,1884106,122,641,10.5082,0.0434,0.826446,0.007707910750507,0.0766641088652103,0.0010269547204127,0.978097809780978,0.4372,0.8202247191011236,us,0.4
1592144360,18778,188238,15,22,2.9333,0.1048,0.571429,0.0128465179175118,0.0,0.0,0.9966996699669968,0.9835,0.9875156054931336,us,0.46
1239289873422585858,21809,245449,27,74,5.4815,0.1054,0.461538,0.0177146720757268,0.0084776548522141,0.0001175180198899,0.9072907290729072,0.2193,0.9575530586766542,us,0.33
1034228424615714816,181425,1677254,98,363,7.4082,0.0382,0.762887,0.005814739688979,0.0925762241022602,0.0004311618631744,0.9723972397239724,0.596,0.7640449438202247,us,0.4
4765393614,146923,2484780,91,483,10.6154,0.059,0.8,0.023394185260311,0.0898157411634435,0.000328932937672,0.9825982598259826,0.8703,0.9588014981273408,au,0.47
1323180289082953729,61733,1014371,52,253,9.7308,0.0954,0.803922,0.0181203515889114,0.035101454061562,0.0033572782958213,0.9543954395439544,0.5906,0.8639200998751561,us,0.42
893003478741598208,110164,1506861,55,374,13.6,0.1259,0.888889,0.0235294117647058,0.0875739415072897,0.0008290661267199,0.9864986498649864,0.9635,0.99250936329588,au,0.51
2478645132,67090,526692,62,1220,39.3548,0.3226,0.983607,0.0901960784313725,0.0303672549610016,0.0107634401863187,0.9675967596759676,0.8063,0.9837702871410736,us,0.52
30503903,37963,328732,21,117,11.1429,0.2786,0.95,0.0336713995943204,0.1081056404378697,0.0087169461325483,0.876987698769877,0.3702,0.951310861423221,us,0.45
749618504,94875,1358571,75,1632,43.52,0.2941,0.878378,0.0853279242731575,0.0125222188765747,0.0138201191390634,0.9708970897089708,0.8079000000000001,0.7453183520599251,us,0.48
226374140,49566,793248,25,34,2.72,0.0567,0.416667,0.0031102096010818,0.0203976571833749,0.0,0.9987998799879988,0.9928,0.9950062421972534,au,0.44
1470536995612946433,65360,1605495,24,87,7.25,0.1576,0.956522,0.0668018931710615,0.034176760269249,0.0010454168013374,0.973897389738974,0.9155,0.9151061173533084,au,0.5
3981591731,23971,426587,28,63,4.5,0.0833,0.703704,0.0200135226504394,0.0458228512039474,0.0003229042632517,0.9693969396939696,0.7576,0.9013732833957552,uk,0.44
1489321578605133824,254553,2917224,132,1556,23.5758,0.09,0.862595,0.0302907369844489,0.0606432061231824,0.0790792622966125,0.963996399639964,0.7403,0.9900124843945068,us,0.48
1282332229625143296,57653,770675,67,194,5.791,0.0439,0.5909089999999999,0.0125760649087221,0.0260876322205278,0.0004961845835795,0.9645964596459646,0.4817,0.7940074906367041,uk,0.36
1213602011704250370,65372,1312946,62,453,14.6129,0.1198,0.852459,0.0392156862745098,0.0350023797266714,0.0021007756271575,0.9393939393939394,0.6355,0.8239700374531835,us,0.43
100326065,199135,3222621,145,471,6.4966,0.0226,0.666667,0.0090601757944557,0.054407350927122,0.0003211179893494,0.9822982298229824,0.5673,0.7340823970037453,au,0.38
314163471,107741,1436940,97,345,7.1134,0.037,0.760417,0.007707910750507,0.0333550260798616,0.0007486720493131,0.9621962196219622,0.3683999999999999,0.6292134831460674,uk,0.35
1599680425,371643,3005535,227,1340,11.8062,0.0261,0.814159,0.0086544962812711,0.1486756092585937,0.0132664799955597,0.9870987098709872,0.7843,0.9388264669163544,au,0.47
825269310939594752,69701,1082362,42,280,13.3333,0.1626,0.926829,0.0344827586206896,0.035946499859159,0.0009446686028857,0.9096909690969096,0.6798,0.961298377028714,uk,0.46
138681951,235682,3806336,179,568,6.3464,0.0178,0.646067,0.0045977011494252,0.079102114557128,0.0005856040449138,0.9966996699669968,0.8617,0.961298377028714,au,0.45
1468728253619875847,52826,874504,59,250,8.4746,0.0731,0.741379,0.0225828262339418,0.0217730420677396,0.0006351613939014,0.9477947794779478,0.6421,0.7940074906367041,uk,0.41
1638735410,47734,497023,30,83,5.5333,0.0954,0.6551720000000001,0.0070317782285327,0.0307829786407389,7.014650607233824e-05,0.9822982298229824,0.8645,0.8664169787765293,us,0.44
3258702421,89782,752957,69,310,8.9855,0.0661,0.75,0.0086544962812711,0.0587530232241896,0.0003918520855212,0.9735973597359736,0.4458999999999999,0.9812734082397004,us,0.41
1380030815854297090,46378,333814,47,193,8.2128,0.0893,0.847826,0.0170385395537525,0.0350975687935271,0.0,0.9585958595859586,0.9182,0.9900124843945068,us,0.48
2565320922,5457,114417,13,45,6.9231,0.2885,0.75,0.0424611223799864,0.0252542422270356,0.0,0.8427842784278428,0.5694,0.965043695380774,au,0.44
442693691,135132,2614260,188,1914,20.3617,0.0544,0.962567,0.0262339418526031,0.0223325206647693,0.0004697782845102,0.9843984398439845,0.4044999999999999,0.8576779026217228,au,0.41
