userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,type,alpha-6,alpha-8
1422093737899937792,49797,596444,30,143,9.5333,0.1644,0.896552,0.03367139959432048,0.3099375443163385,0.17175258606922825,0.9795979597959796,0.9507,0.9675405742821473,au,au,0.69,0.56
1387617706338185217,9933,153683,7,13,3.7143,0.3095,0.666667,0.025828262339418522,0.054609384864938375,0.00030124569218601413,0.9714971497149715,0.95,0.9850187265917603,us,rural,0.61,0.5
902668329969737728,106687,1626843,51,74,2.902,0.029,0.45999999999999996,0.0014874915483434753,0.06281118568667256,0.0021623315659759145,0.991899189918992,0.8631,0.9450686641697877,au,au,0.55,0.42
363395429,61371,756676,35,113,6.4571,0.095,0.676471,0.012440838404327248,0.15823336862451798,0.0003745534329933932,0.9612961296129613,0.5691999999999999,0.9612983770287141,us,rural,0.56,0.43
2815677276,994,9963,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,us,urban,0.5,0.38
1281764340576800771,132718,1890139,80,928,23.2,0.1468,0.848101,0.04746450304259635,0.08972443736462268,0.009919942846756277,0.9624962496249625,0.6005,0.9837702871410736,us,rural,0.59,0.46
952363691852337154,92074,798927,100,848,16.96,0.0857,0.79798,0.014063556457065583,0.02374481559546589,0.0004416679741525696,0.9750975097509751,0.2994,0.9837702871410736,us,urban,0.52,0.4
1497201707415048193,4582,48711,42,450,21.4286,0.2613,0.95122,0.11926977687626775,0.007941487863393975,0.003149482933051876,0.9438943894389439,0.7564,0.947565543071161,us,urban,0.62,0.5
1136864382871310337,91191,1475229,98,598,12.2041,0.0629,0.845361,0.012170385395537523,0.02557866210795217,0.004637660626126843,0.960996099609961,0.5281,0.7091136079900124,us,urban,0.51,0.39
1072760480572235776,77221,777199,103,280,5.4369,0.0267,0.676471,0.006085192697768762,0.020195623245558653,3.639533075993156e-05,0.9825982598259826,0.6008,0.8289637952559301,au,au,0.52,0.39
2319771433,27355,247508,20,37,3.7,0.0974,0.368421,0.006896551724137931,0.022664711081755752,6.944139795299826e-05,0.9393939393939394,0.6038,0.898876404494382,us,urban,0.47,0.37
1351753049371406336,79225,808666,135,772,11.437,0.0427,0.91791,0.013252197430696415,0.028949132128252696,0.00031780398118851446,0.9702970297029703,0.8435,0.9612983770287141,au,au,0.62,0.47
1080855261701521408,53899,606164,40,146,7.3,0.0936,0.666667,0.008924949290060852,0.02438394218721164,0.00043090332353064607,0.9573957395739574,0.6384000000000001,0.916354556803995,us,urban,0.54,0.41
1503891293445160961,68541,1262144,42,249,11.8571,0.1446,0.95122,0.016227180527383367,0.034938272804095075,0.0014386320958893453,0.891989198919892,0.5912999999999999,0.7215980024968789,au,au,0.53,0.42
1202941296152727552,41172,613752,30,97,6.4667,0.1115,0.931034,0.03434753211629479,0.01677658737482152,0.0003476535582405733,0.9048904890489049,0.5529999999999999,0.6479400749063671,au,au,0.51,0.4
1378391323561099269,38734,372161,58,179,6.1724,0.0541,0.614035,0.010547667342799187,0.01655512709683059,0.0008422163931456298,0.9843984398439845,0.9162,0.9488139825218477,uk,urban,0.58,0.44
1349039102868430849,139908,1784665,88,283,6.4318,0.037,0.701149,0.009060175794455713,0.09949782910648548,0.0012519429694920988,0.9411941194119412,0.48250000000000004,0.5967540574282147,us,urban,0.47,0.36
64772612,31487,499234,18,38,4.2222,0.1242,0.41176499999999994,0.012170385395537523,0.022146027799092787,0.00011346364820379054,0.9075907590759076,0.6697,0.8589263420724095,us,rural,0.48,0.38
32438379,46026,548689,37,62,3.3514,0.0465,0.30555599999999994,0.003110209601081812,0.05468514759161947,1.1704794781043538e-05,0.9633963396339634,0.6533,0.8451935081148565,us,urban,0.47,0.36
1264485209812209664,16397,168604,12,17,2.8333,0.1288,0.36363599999999996,0.0067613252197430695,0.0058279020523928395,0.0,0.933993399339934,0.7363999999999999,0.8264669163545568,uk,urban,0.48,0.38
336794137,90949,908830,69,184,5.3333,0.0392,0.676471,0.009871534820824882,0.020795897156955116,0.0010356275502805842,0.9492949294929492,0.42569999999999997,0.6054931335830211,us,urban,0.45,0.34
1187299568985096192,189,1730,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,us,urban,0.5,0.38
283467992,85355,1389102,57,153,5.3684,0.0479,0.696429,0.005138607167004733,0.06950744514487192,1.1775305592977537e-05,0.9741974197419742,0.6344000000000001,0.8626716604244694,uk,urban,0.54,0.41
1487318310,58602,1023526,73,414,11.3425,0.0788,0.944444,0.027721433400946585,0.03323069750274397,0.0007678274865552628,0.9441944194419442,0.30210000000000004,0.5642946317103621,au,au,0.47,0.36
93828896,31436,461650,25,76,6.08,0.1267,0.833333,0.023394185260311017,0.006799219061124979,0.0007051081193399722,0.9090909090909091,0.3427,0.8926342072409488,uk,urban,0.5,0.39
206028900,159844,2181260,83,425,10.241,0.0624,0.8170729999999999,0.009060175794455713,0.07475838489407788,0.0015079089686144977,0.9852985298529853,0.7591,0.9775280898876404,us,urban,0.6,0.46
783376493363597312,201386,2903844,118,613,10.3898,0.0444,0.905983,0.0067613252197430695,0.05396248773712276,0.002820432477359889,0.9621962196219622,0.6168,0.5580524344569289,au,au,0.52,0.39
