userids,tweets,tokens,nodes,edges,avg_degrees,densities,outliers,social_similarities,interactions,interactions_p,betweenness_mean,betweenness_range,closeness,country,type
828553266107711488,3335,47202,3,3,2.0,0.5,100.0,0.0227,0.3,0.0,0.1667,0.5,0.0,uk,urban
93828896,31436,461650,25,76,6.08,0.1267,16.6667,0.0173,0.35,6.0,0.0303,0.6573,0.0086,uk,urban
22643437,70501,1018182,59,177,6.0,0.0517,27.5862,0.0065,2.1647,0.717,0.014,0.5011,0.023,uk,rural
1489543227657048065,8507,147853,5,6,2.4,0.3,50.0,0.014,,0.0,0.05,0.25,0.0185,uk,urban
1622232032,54778,812255,38,177,9.3158,0.1259,32.4324,0.0166,2.0559,16.2593,0.0139,0.1607,0.0177,uk,urban
3832776694,15452,185116,18,47,5.2222,0.1536,35.2941,0.0073,1.3688,1.8816,0.0525,0.8676,0.0065,uk,urban
3386980037,47749,785586,45,127,5.6444,0.0641,34.0909,0.0063,4.5394,5.0161,0.0225,0.4823,0.0213,uk,rural
1387502234288730115,224149,2413216,166,1142,13.759,0.0417,4.2424,0.0117,2.4883,68.562,0.0102,0.4168,0.0127,uk,urban
19564157,137641,2022968,95,480,10.1053,0.0538,20.2128,0.0098,1.6395,4.7756,0.0044,0.0823,0.0012,uk,urban
1179796239770103810,72990,1104504,52,145,5.5769,0.0547,29.4118,0.0042,3.3527,3.0978,0.0112,0.3966,0.0146,uk,rural
797967046369804288,63022,743595,61,666,21.8361,0.182,6.6667,0.0226,2.4836,12.9744,0.0137,0.3042,0.0039,uk,rural
1270712559184703490,76,457,1,0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,uk,urban
1259580699771887617,3904,67877,8,21,5.25,0.375,28.5714,0.0138,,0.0,0.0417,0.2579,0.0071,uk,urban
476177782,49012,560231,48,140,5.8333,0.0621,44.6809,0.0074,2.7067,4.7183,0.0156,0.5305,0.0141,uk,urban
2723670101,15316,177376,11,18,3.2727,0.1636,70.0,0.0071,2.05,3.3158,0.0343,0.3778,0.0129,uk,urban
1510572328027148288,14767,214294,41,848,41.3659,0.5171,2.5,0.1643,1.4491,136.6667,0.012,0.0653,0.0065,uk,rural
4827520642,155933,2369904,113,599,10.6018,0.0473,18.75,0.0084,3.8303,8.3978,0.0118,0.4767,0.0239,uk,rural
3030323171,245566,3213364,133,485,7.2932,0.0276,19.697,0.0048,2.9698,3.3119,0.0192,0.4124,0.0301,uk,urban
1481571759417667586,117065,1452234,168,363,4.3214,0.0129,52.0958,0.0103,3.0182,0.0,0.0036,0.5174,0.0077,uk,urban
1388116092124639237,106530,1430808,90,518,11.5111,0.0647,19.1011,0.0121,1.8517,6.192,0.0153,0.4547,0.0208,uk,urban
616417941,104334,1482317,88,1986,45.1364,0.2594,4.5977,0.0481,1.7844,37.1156,0.0091,0.2149,0.0031,uk,rural
1234604756477317120,22408,353822,37,300,16.2162,0.2252,13.8889,0.0331,0.7935,1.9675,0.0196,0.3232,0.0089,uk,rural
1484482092398530562,65588,833345,45,103,4.5778,0.052,29.5455,0.0068,17.36,0.0,0.0108,0.2367,0.0159,uk,urban
2289856162,4692,82037,4,5,2.5,0.4167,33.3333,0.0092,0.3,0.0,0.0,0.0,0.0,uk,urban
110230296,63179,718851,39,103,5.2821,0.0695,34.2105,0.0062,5.1711,0.1572,0.016,0.5373,0.0113,uk,urban
400295289,8629,144169,11,14,2.5455,0.1273,100.0,0.0027,4.2,0.0,0.0364,0.4,0.0113,uk,rural
866001544273170432,65540,1173687,52,213,8.1923,0.0803,15.6863,0.0127,2.3548,7.3043,0.0266,0.5985,0.0521,uk,rural
84811768,169516,2481623,111,260,4.6847,0.0213,40.9091,0.0023,5.0277,2.0454,0.0032,0.3389,0.0038,uk,urban
2335541615,9329,196771,5,11,4.4,0.55,0.0,0.0157,28.32,0.0294,0.1667,0.5,0.021,uk,urban
3906303503,4086,49794,6,6,2.0,0.2,100.0,0.0029,1.35,0.0,0.0333,0.2,0.0148,uk,urban
20613594,106272,1421419,69,374,10.8406,0.0797,26.4706,0.0143,2.589,51.2593,0.0135,0.4565,0.0134,uk,rural
