networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
179631896,98921,1303876,52,136,5.2308,0.0513,31.3725,0.0067,1.2824,2.6033,0.0131,0.2567,0.0185,us,urban,0.41
260393792,54542,916276,26,95,7.3077,0.1462,16.0,0.0207,3.1857,56.8148,0.0252,0.1323,0.0038,us,urban,0.48
21825473,24225,314592,10,10,2.0,0.1111,77.7778,0.0043,0.45,0.5,0.0,0.0,0.0,us,urban,0.42
4911813076,53959,702693,20,98,9.8,0.2579,5.2632,0.0341,12.0968,3.9407,0.0304,0.1532,0.0398,us,urban,0.47
1482257413352960001,153053,1339703,112,516,9.2143,0.0415,12.6126,0.0054,1.5179,22.1981,0.0137,0.2162,0.005,us,urban,0.45
1376492074942427137,109434,1897033,47,1102,46.8936,0.5097,8.6957,0.1575,1.8311,26.4667,0.0137,0.1243,0.0576,us,urban,0.47
1291474184116133888,601,1023,1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,rural,0.38
465300806,28344,318439,26,165,12.6923,0.2538,12.0,0.0394,1.8983,111.0,0.0364,0.4772,0.0236,us,urban,0.42
1265667165136588800,30106,347069,21,42,4.0,0.1,40.0,0.0058,2.3286,0.7527,0.0226,0.4697,0.006,us,urban,0.39
1429204522828697602,239316,3832028,143,2485,34.7552,0.1224,8.4507,0.0245,2.284,18.8422,0.0064,0.3129,0.0215,us,urban,0.44
69844774,218000,3098094,139,1690,24.3165,0.0881,14.4928,0.0152,4.1153,13.5709,0.0073,0.4674,0.0143,us,urban,0.42
624302605,141619,1483304,95,333,7.0105,0.0373,30.8511,0.0043,5.0672,13.0811,0.0056,0.3458,0.0132,us,urban,0.41
119320704,60468,782425,52,149,5.7308,0.0562,43.1373,0.0061,2.1633,1.0463,0.0134,0.5616,0.0119,us,urban,0.37
1345889348076662784,5305,56575,7,10,2.8571,0.2381,100.0,0.0135,2.5,0.0,0.0952,0.6667,0.0093,us,urban,0.28
1352259734808756225,75678,702594,60,207,6.9,0.0585,54.2373,0.0051,1.624,1.5455,0.009,0.4191,0.0063,us,rural,0.38
1263589112931479554,181054,2373669,146,1032,14.137,0.0487,10.3448,0.0123,1.7057,6.2335,0.0124,0.4777,0.0477,us,urban,0.36
1538277763798421504,28221,371565,25,41,3.28,0.0683,50.0,0.0125,6.0444,180.3333,0.0099,0.2011,0.0137,us,rural,0.42
1470590074861543424,126102,1634461,69,688,19.942,0.1466,5.8824,0.0278,3.3093,5.6149,0.0169,0.4225,0.016,us,urban,0.44
1432598427494387714,11462,121240,19,24,2.5263,0.0702,88.8889,0.0015,0.6,0.0,0.0146,0.2778,0.0089,us,rural,0.35
1491386912614977536,69472,547297,81,428,10.5679,0.066,21.25,0.009,4.9817,696.4444,0.0071,0.1833,0.0096,us,urban,0.46
1232794036412518400,83370,1561094,59,448,15.1864,0.1309,10.3448,0.0263,2.1211,34.7089,0.0052,0.0739,0.0055,us,rural,0.49
3292324601,103011,1315471,72,910,25.2778,0.178,4.2254,0.026,1.8156,36.3486,0.0073,0.2711,0.0012,us,rural,0.49
575843803,145040,2229561,84,452,10.7619,0.0648,19.2771,0.0089,3.7688,8.6027,0.0114,0.4815,0.0166,us,rural,0.4
1495887211459457031,71,1244,1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,urban,0.38
1485885999960006657,89667,668779,118,231,3.9153,0.0167,50.4274,0.0024,2.2162,2.3607,0.0027,0.278,0.0042,us,urban,0.4
1297973239600287744,131870,1504210,173,2420,27.9769,0.0813,3.4884,0.0189,3.965,120.2171,0.0095,0.4303,0.0042,us,rural,0.46
2806541159,68286,780204,65,356,10.9538,0.0856,20.3125,0.0096,3.1951,20.9095,0.0178,0.3806,0.0013,us,rural,0.44
1464201750,107935,1023199,89,945,21.236,0.1207,9.0909,0.0193,3.5964,5.4432,0.0085,0.534,0.0006,us,urban,0.44
338395598,85307,1087032,55,289,10.5091,0.0973,7.4074,0.0122,3.0667,21.2069,0.0243,0.392,0.04,us,urban,0.39
1492345014697046020,10278,76826,12,16,2.6667,0.1212,81.8182,0.0045,0.3,0.0,0.0303,0.3636,0.0124,us,urban,0.34
2937717365,138546,1325469,111,973,17.5315,0.0797,7.2727,0.0138,1.6976,16.1134,0.0128,0.7694,0.0565,us,urban,0.32
2620025984,1816,19217,2,2,2.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,urban,0.5
770813309465395200,39724,591400,40,55,2.75,0.0353,74.359,0.0082,1.05,0.0,0.0045,0.1768,0.0052,us,urban,0.38
1044626355252424704,58220,836528,65,500,15.3846,0.1202,6.25,0.0156,2.3764,10.7003,0.0116,0.4456,0.0152,us,rural,0.43
1484320724437258240,70646,810309,44,81,3.6818,0.0428,69.7674,0.004,2.9086,3.5856,0.0085,0.3483,0.008,us,rural,0.37
1116646555984060416,47185,780430,79,1207,30.557,0.1959,0.0,0.0446,0.9808,13.5952,0.0119,0.2177,0.0081,us,urban,0.49
