networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
2857747237,15877,332505,20,46,4.6,0.1211,36.8421,0.0114,5.0143,6.3125,0.0193,0.3143,0.0148,au,au,0.41
45307752,286317,4236117,265,1203,9.0792,0.0172,21.5909,0.0033,3.0706,2.7195,0.0022,0.4306,0.0085,au,au,0.42
891493094104768513,68182,1128729,94,824,17.5319,0.0943,11.828,0.0214,1.0625,18.6154,0.0086,0.3404,0.0107,au,au,0.44
1454370323567022085,76552,1320647,34,120,7.0588,0.107,21.2121,0.0142,3.4788,17.8438,0.0103,0.107,0.0057,au,au,0.47
1093593704911138816,380487,5917753,221,1199,10.8507,0.0247,11.3636,0.0054,2.8252,18.0042,0.0091,0.3146,0.013,au,au,0.43
3817810514,244887,5059253,138,512,7.4203,0.0271,23.3577,0.0066,4.4037,9.0357,0.0014,0.0599,0.0059,au,au,0.47
453377412,151616,3076960,108,219,4.0556,0.019,44.8598,0.0032,2.6515,7.6634,0.0018,0.1547,0.0037,au,au,0.43
34093377,239217,2944819,216,644,5.963,0.0139,29.7674,0.0025,1.4372,12.9278,0.0025,0.2887,0.011,au,au,0.41
51918704,150725,1733782,135,288,4.2667,0.0159,39.5522,0.002,3.2432,0.804,0.0023,0.2401,0.0078,au,au,0.42
1186401348675231744,64896,275960,30,99,6.6,0.1138,27.5862,0.0096,3.82,0.0,0.005,0.0426,0.0001,au,au,0.48
35729210,362163,5187522,300,2236,14.9067,0.0249,16.7224,0.0059,1.589,4.5651,0.0037,0.0883,0.0045,au,au,0.47
15238948,323776,4336282,251,1206,9.6096,0.0192,28.0,0.0042,3.5826,3.8234,0.0021,0.2852,0.009,au,au,0.43
3234517538,91557,1767895,46,121,5.2609,0.0585,26.6667,0.007,1.1429,5.2745,0.0116,0.1789,0.0137,au,au,0.43
1264048050,133075,2497836,162,818,10.0988,0.0314,17.3913,0.01,1.7758,15.7429,0.0069,0.5645,0.0288,au,au,0.37
786733027,127410,1799808,64,120,3.75,0.0298,49.2063,0.003,0.85,2.7778,0.0026,0.1206,0.0054,au,au,0.42
975531644,115011,1816703,60,232,7.7333,0.0655,11.8644,0.0099,3.4983,4.2227,0.0099,0.0799,0.0106,au,au,0.47
115602212,176237,2534115,193,1459,15.1192,0.0394,7.8125,0.0171,1.3455,4.5867,0.0046,0.5336,0.0201,au,au,0.4
1173618166641123328,234141,3317522,157,3180,40.5096,0.1298,0.641,0.0453,2.4405,16.737,0.008,0.1608,0.0052,au,au,0.5
1078214760426926082,181278,2569817,348,1847,10.6149,0.0153,14.9856,0.0166,2.491,23.8201,0.0047,0.6546,0.0395,au,au,0.35
4750284964,5339,33692,5,4,1.6,0.2,100.0,0.002,0.0,0.0,0.0,0.0,0.0,au,au,0.4
1521863458521636864,3390,56280,3,3,2.0,0.5,0.0,0.0167,0.85,0.5455,0.0,0.0,0.0,au,au,0.57
3251242556,124567,2011372,98,331,6.7551,0.0348,20.6186,0.0067,2.0542,2.4828,0.0059,0.2586,0.0144,au,au,0.43
1222013109591633921,60208,1070341,36,67,3.7222,0.0532,45.7143,0.0081,2.18,3.3026,0.0014,0.0277,0.0044,au,au,0.45
3046587443,98314,1509816,133,785,11.8045,0.0447,14.3939,0.0207,2.7417,0.4474,0.0068,0.634,0.0113,au,au,0.4
4723136383,95075,1494771,78,214,5.4872,0.0356,27.2727,0.0049,2.3509,7.4277,0.0018,0.0508,0.0037,au,au,0.46
1511599656,157674,2466579,123,642,10.439,0.0428,24.5902,0.0065,1.2912,26.7736,0.006,0.2067,0.0025,au,au,0.45
92430575,178807,3433435,93,276,5.9355,0.0323,21.7391,0.0056,2.0022,8.5937,0.0055,0.2479,0.0147,au,au,0.43
958809980408184832,168981,2342697,118,414,7.0169,0.03,23.9316,0.0088,4.2252,0.4716,0.0057,0.645,0.0012,au,au,0.4
1031508152582201345,8598,132849,4,5,2.5,0.4167,33.3333,0.0116,2.8,17.6667,0.0,0.0,0.0,au,au,0.52
1578229578115563523,19749,161891,73,511,14.0,0.0972,12.5,0.0286,2.4863,12.8579,0.0116,0.5445,0.0117,au,au,0.42
1152769275926470656,152785,2945330,84,224,5.3333,0.0321,25.3012,0.0046,1.8529,7.3677,0.0045,0.159,0.0143,au,au,0.43
3104683262,93424,1894288,96,212,4.4167,0.0232,41.0526,0.0059,1.2281,2.7075,0.0014,0.1017,0.0026,au,au,0.44
